No,氏名,ふりがな,会派,選挙区,当選回数,生年月日,表面,本質,意思決定,隠れ,希望,プロフィール
11,東 克哉君,あずま かつや,立憲,（比）中国,1,1981/9/30,ライオン,チーター,ライオン,ライオン,くろひょう,"東 克哉（あずま かつや）
 比例代表（中国）選出、立憲民主党・無所属
 昭和五十六年九月兵庫県神戸市に生まれる、広島大学大学院保健学研究科修了修士（保健学）取得、理学療法士、会社代表、立憲民主党広島県第三区総支部長○当選一回（50）
 （令和7年3月現在）"
12,東 国幹君,あずま くによし,自民,北海道6,2,1968/2/17,ゾウ,虎,チーター,こじか,猿,"東 国幹（あずま くによし）
 小選挙区（北海道第六区）選出、自由民主党・無所属の会
 財務大臣政務官
 昭和四十三年二月北海道上川郡風連町（現在名寄市）に生まれる。東海大学法学部卒業、国会議員秘書、旭川市議会議員、北海道議会議員、道議会自民党道民会議議員会長、全国道路利用者会議副会長○当選二回（49 50）
 （令和7年3月現在）"
13,東 徹君,あずま とおる,維新,大阪3,1（参2）,1966/9/16,猿,虎,ゾウ,猿,子守熊,"東 徹（あずま とおる）
 小選挙区（大阪府第三区）選出、日本維新の会
 昭和四十一年九月大阪府大阪市に生まれる、近畿大学法学部卒業、東洋大学大学院修士課程修了○社会福祉士、専門学校講師○参議院議員二期、大阪府議会議員三期○日本維新の会総務会長、参議院国会対策委員長、党改革実行本部長、拉致対策本部長○参議院議院運営委員会理事、参議院経済産業委員会理事○著書「それでも維新の『身を切る改革』」「やさしく解説！すっきりわかる！大阪都構想」○当選一回（50）参二回（23 25）
 （令和7年3月現在）"
14,安住 淳君,あずみ じゅん,立憲,宮城4,10,1962/1/17,たぬき,ライオン,たぬき,ひつじ,こじか,"安住 淳（あずみ じゅん）
 小選挙区（宮城県第四区）選出、立憲民主党・無所属
 予算委員長
 昭和三十七年一月宮城県牡鹿郡牡鹿町（現石巻市）に生まれる、早稲田大学社会科学部卒業○NHK政治部記者○財務大臣、防衛副大臣○民主党選挙対策委員長、国会対策委員長、幹事長代行。民進党国会対策委員長、代表代行。民進党宮城県連代表○衆議院沖縄及び北方問題に関する特別委員長、安全保障委員長○当選十回（41 42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
15,麻生 太郎君,あそう たろう,自民,福岡8,15,1940/9/20,ゾウ,猿,くろひょう,狼,猿,"麻生 太郎（あそう たろう）
 小選挙区（福岡県第八区）選出、自由民主党・無所属の会
 昭和十五年九月福岡県飯塚市に生まれる、学習院大学政経学部卒業、麻生セメント（株）社長○文部政務次官、経済企画庁長官、国務大臣・経済財政政策担当、総務大臣、外務大臣、内閣総理大臣、副総理、財務大臣、内閣府特命担当大臣（金融）を務める。自民党文教・外交各部会長、副幹事長、政務調査会長、幹事長、総裁、副総裁を務め、現在、最高顧問である。衆議院石炭対策特別委員長、外務委員長、財政構造改革に関する特別委員長を務める○平成十九年三月永年在職議員として衆議院より表彰される○著書「とてつもない日本」「自由と繁栄の弧」等○当選十五回（35 36 38 39 40 41 42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
16,阿部 圭史君,あべ けいし,維新,（比）近畿,1,1986/5/26,猿,チーター,ペガサス,ひつじ,虎,"阿部 圭史（あべ けいし）
 比例代表（近畿）選出、日本維新の会
 一九八六年生。岡山県育ち。医師。専門は国際政治・安全保障・危機管理・医療・公衆衛生。国立国際医療研究センターを経て、厚労省入省。ワクチン政策・診療報酬政策等の内政、国際機関や諸外国との外交、国際的に脅威となる感染症に対する危機管理に従事。また、WHO本部で感染症危機管理政策、大量破壊兵器に対する公衆衛生危機管理政策、人道危機対応に従事。その後、在宅医療に従事しつつ、危機管理体制を向上するべく国際機関・政府・自治体・民間企業の危機管理事業を多面的に支援。著書に『感染症の国家戦略 日本の安全保障と危機管理』、『コロナ民間臨調報告書』（共著）。北海道大学医学部卒業。ジョージタウン大学大学院修士課程（国際政治・安全保障専攻）修了○当選一回（50）
 （令和7年3月現在）"
17,阿部 司君,あべ つかさ,維新,（比）東京,2,1982/6/18,狼,猿,くろひょう,たぬき,狼,"阿部 司（あべ つかさ）
 比例代表（東京都）選出、日本維新の会
 昭和五十七年六月東京都大田区に生まれる、早稲田大学商学部卒業○東京維新の会代表○日本ヒューレット・パッカード（株）（外資系IT企業）、青山社中（株）（政策シンクタンク）を経て、第四十九回衆議院選挙にて初当選○当選二回（49 50）
 （令和7年3月現在）"
18,あべ 俊子君,あべ としこ,自民,（比）九州,7,1959/5/19,ゾウ,こじか,チーター,たぬき,こじか,"あべ 俊子（あべ としこ）
 比例代表（九州）選出、自由民主党・無所属の会
 文部科学大臣
 昭和三十四年五月十九日宮城県石巻市に生まれる、イリノイ大学大学院博士課程卒業、日本看護協会副会長、東京医科歯科大学大学院助教授となる○外務大臣政務官、農林水産副大臣、外務副大臣、文部科学副大臣、文部科学大臣○衆議院外務委員長○当選七回（44 45 46 47 48 49 50）
 （令和7年3月現在）"
19,阿部 知子君,あべ ともこ,立憲,神奈川12,9,1948/4/24,たぬき,子守熊,ペガサス,子守熊,ひつじ,"阿部 知子（あべ ともこ）
 小選挙区（神奈川県第十二区）選出、立憲民主党・無所属
 昭和二十三年四月二十四日東京都目黒区に生まれる、東京大学医学部卒業、医師、小児科○昭和五十八年十二月より平成六年三月まで東京大学医学部文部教官助手。平成六年四月より医療法人徳洲会に入職し、平成七年三月より湘南鎌倉総合病院小児科部長、平成十年十二月より千葉徳洲会病院院長を務める。平成十五年十二月より社会民主党政策審議会会長。平成二十五年一月より日本未来の党代表。平成二十六年十二月より民主党所属。民進党を経て平成二十九年十月立憲民主党入党○当選九回（42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
20,阿部 弘樹君,あべ ひろき,維新,（比）九州,2,1961/12/15,虎,狼,たぬき,ゾウ,ひつじ,"阿部 弘樹（あべ ひろき）
 比例代表（九州）選出、日本維新の会
 昭和三十六年十二月十五日福岡県福津市に生まれる、熊本大学医学部卒業、同大大学院修了、医師、医学博士、厚生省課長補佐、久留米保健所支所長、津屋崎町長、福岡県議会議員三期、病院長○日本維新の会福岡県総支部副代表○当選二回（49 50）
 （令和7年3月現在）"
21,阿部 祐美子君,あべ ゆみこ,立憲,（比）東京,1,1964/9/30,チーター,狼,ひつじ,ゾウ,くろひょう,"阿部 祐美子（あべ ゆみこ）
 比例代表（東京都）選出、立憲民主党・無所属
 昭和三十九年九月東京都世田谷区に生まれる、岡山大学法学部卒業○山陽新聞社編集局記者、在ポーランド日本大使館、日本教育新聞社編集部記者、品川区議会議員五期、東京都議会議員一期、行政書士○立憲民主党東京都第三区総支部長○当選一回（50）
 （令和7年3月現在）"
22,荒井 優君,あらい ゆたか,立憲,北海道3,2,1975/2/28,虎,チーター,ライオン,狼,ライオン,"荒井 優（あらい ゆたか）
 小選挙区（北海道第三区）選出、立憲民主党・無所属
 昭和五十年二月札幌市に生まれる。早稲田大学政治経済学部経済学科卒業○リクルート、ソフトバンク、公益財団法人東日本大震災復興支援財団専務理事、札幌新陽高校校長、学校法人東明館学園理事長○当選二回（49 50）
 （令和7年3月現在）"
23,新垣 邦男君,あらかき くにお,立憲,沖縄2,2,1956/6/19,ライオン,虎,チーター,こじか,ライオン,"新垣 邦男（あらかき くにお）
 小選挙区（沖縄県第二区）選出、立憲民主党・無所属
 昭和三十一年六月十九日沖縄県旧北谷村（現北谷町）に生まれる○日本大学法学部新聞学科卒業○北中城村役場入庁、北中城村職員労働組合執行委員長（四期）○北中城村長（四期）、沖縄県町村会長（一期）○沖縄伝統空手道振興会理事長○当選二回（49 50）
 （令和7年3月現在）"
24,有田 芳生君,ありた よしふ,立憲,（比）東京,1（参2）,1952/2/20,猿,子守熊,くろひょう,虎,こじか,"有田 芳生（ありた よしふ）
 比例代表（東京都）選出、立憲民主党・無所属
 一九五二年京都府生まれ。立命館大学経済学部卒業。フリージャーナリストとして霊感商法、統一教会、オウム真理教による地下鉄サリン事件、北朝鮮拉致問題に取り組む。日本テレビ系「ザ・ワイド」にコメンテーターとして十二年半出演○立憲民主党東京都連副会長○著書「誰も書かなかった統一教会」「改訂新版 統一教会とは何か」「北朝鮮 拉致問題 極秘文書から見える真実」「ヘイトスピーチとたたかう！」「私の家は山の向こう テレサ・テン十年目の真実」等、多数○当選一回（50）参二回（22 24）
 （令和7年3月現在）"
25,安藤じゅん子君,あんどう じゅんこ,立憲,千葉6,1,1976/5/29,ゾウ,ゾウ,ひつじ,ペガサス,こじか,"安藤 じゅん子（あんどう じゅんこ）
 小選挙区（千葉県第六区）選出、立憲民主党・無所属
 昭和五十一年五月千葉県松戸市に生まれる、早稲田大学社会科学部卒業○出版社勤務、松戸市議会議員、千葉県議会議員○当選一回（50）
 （令和7年3月現在）"
26,安藤 たかお君,あんどう たかお,自民,（比）東京,2,1959/4/1,くろひょう,虎,猿,子守熊,チーター,"安藤 たかお（あんどう たかお）
 比例代表（東京都）選出、自由民主党・無所属の会
 厚生労働大臣政務官
 昭和三十四年四月東京都渋谷区に生まれる、日本大学医学部卒業○医師、東京都医師会参与、東京都病院協会副会長、全日本病院協会副会長、日本慢性期医療協会副会長、八王子市医師会理事、医療法人社団永生会理事長、医療法人社団明生会理事長○当選二回（48 50）
 （令和7年3月現在）"
27,五十嵐 えり君,いがらし えり,立憲,東京30,1,1984/1/19,たぬき,虎,ライオン,チーター,ゾウ,"五十嵐 えり（いがらし えり）
 小選挙区（東京都第三十区）選出、立憲民主党・無所属
 昭和五十九年一月十九日愛知県に生まれる、名古屋大学法科大学院修了、参議院議員政策秘書、弁護士、東京都議会議員○当選一回（50）
 （令和7年3月現在）"
28,五十嵐 清君,いがらし きよし,自民,（比）北関東,2,1925/5/12,ライオン,子守熊,こじか,虎,ゾウ,"五十嵐 清（いがらし きよし）
 比例代表（北関東）選出、自由民主党・無所属の会
 環境大臣政務官
 昭和四十四年十二月栃木県小山市に生まれる、オーストラリア・ボンド大学経営学部卒業○茂木敏充衆議院議員秘書、栃木県議会議員（五期）、栃木県議会議長、副議長○自由民主党栃木県第二選挙区支部長、国際協力調査会事務局次長、組織運動本部団体総局農林水産関係団体委員会副委員長、環境大臣政務官、現在に至る○当選二回（49 50）
 （令和7年3月現在）"
29,池下 卓君,いけした たく,維新,大阪10,2,1975/4/10,くろひょう,ひつじ,チーター,くろひょう,たぬき,"池下 卓（いけした たく）
 小選挙区（大阪府第十区）選出、日本維新の会
 昭和五十年四月大阪府高槻市に生まれる、龍谷大学院経営学研究科卒業○税理士、大阪府議会議員○日本維新の会会計監査人○衆議院厚生労働委員、政治改革に関する特別委理事○当選二回（49 50）
 （令和7年3月現在）"
30,池田 真紀君,いけだ まき,立憲,北海道5,2,1972/5/24,ライオン,子守熊,チーター,ひつじ,たぬき,"池田 真紀（いけだ まき）
 小選挙区（北海道第五区）選出、立憲民主党・無所属
 昭和四十七年五月東京都板橋区に生まれる、北海道大学公共政策大学院専門職学位課程修了○板橋区役所職員、社会福祉士、介護福祉士、精神保健福祉士、防災士、北海道大学公共政策大学院公共政策学研究センター研究員○民進党北海道道民生活局長、北海道第五区総支部代表。立憲民主党北海道第五区総支部代表○当選二回（48 50）
 （令和7年3月現在）"
31,池畑 浩太朗君,いけはた こうたろう,維新,（比）近畿,2,1974/9/26,虎,チーター,ペガサス,ひつじ,こじか,"池畑 浩太朗（いけはた こうたろう）
 比例代表（近畿）選出、日本維新の会
 昭和四十九年九月二十六日東京都港区に生まれる、岡山県立農業大学校園芸課程卒業、農業高校実習助手、衆議院議員公設第一秘書、兵庫県議会議員二期、ファルコモンテコーポレーション有限会社代表取締役、衆議院議員となる、農林水産委員会委員会理事○当選二回（49 50）
 （令和7年3月現在）"
32,井坂 信彦君,いさか のぶひこ,立憲,兵庫1,4,1974/3/27,子守熊,子守熊,ゾウ,ペガサス,たぬき,"井坂 信彦（いさか のぶひこ）
 小選挙区（兵庫県第一区）選出、立憲民主党・無所属
 昭和四十九年三月二十七日、東京都世田谷区に生まれる。京都大学総合人間学部卒業○神戸市会議員三期。現在、行政書士井坂事務所代表○立憲民主党デジタルPT事務局長、フリーランスWT事務局長、兵庫県連代表○衆議院決算行政監視委員会筆頭理事、厚生労働委員会筆頭理事、議院運営委員会理事○当選四回（46 47 49 50）
 （令和7年3月現在）"
33,石井 智恵君,いしい ともえ,国民,（比）四国,1,1967/11/16,猿,ペガサス,ひつじ,たぬき,チーター,"石井 智恵（いしい ともえ）
 比例代表（四国）選出、国民民主党・無所属クラブ
 昭和四十二年愛媛県松山市に生まれる。愛媛県立松山西高等学校、岡山県立短期大学看護科、国立大阪病院付属視能訓練学院卒業。愛媛県議会議員、愛媛県PTA連合会副会長、社会的養護施設第三者評価調査員、働く女性のサポートオフィスアイ代表、看護師、視能訓練士、国民民主党愛媛県総支部連合会代表○第五十回衆議院議員総選挙初当選、衆議院政治倫理審査会幹事、内閣委員会委員○当選一回（50）
 （令和7年3月現在）"
34,石川 香織君,いしかわ かおり,立憲,北海道11,3,1984/5/10,子守熊,たぬき,チーター,ペガサス,子守熊,"石川 香織（いしかわ かおり）
 小選挙区（北海道第十一区）選出、立憲民主党・無所属
 昭和五十九年五月十日神奈川県横浜市に生まれる、聖心女子大学文学部哲学科卒業○日本BS放送株式会社アナウンサー○立憲民主党副幹事長、国民運動局長、ネクスト地方創生・消費者・沖縄北方担当大臣○衆議院農林水産委員会委員、消費者問題に関する特別委員会委員○当選三回（48 49 50）
 （令和7年3月現在）"
35,石田 真敏君,いしだ まさとし,自民,（比）近畿,9,1952/4/11,たぬき,狼,たぬき,たぬき,虎,"石田 真敏（いしだ まさとし）
 比例代表（近畿）選出、自由民主党・無所属の会
 昭和二十七年四月和歌山県海南市に生まれる、早稲田大学政経学部卒業○坊秀男衆議院議員秘書を経て、和歌山県議会議員、海南市長となる。全国青年市長会副会長、全国小都市市長会会長を務める○国土交通大臣政務官、財務副大臣、総務大臣○自由民主党副幹事長、政務調査会副会長、総務部会部会長、団体総局長、人事委員長、政務調査会副会長、税制調査会副会長、総務会副会長○衆議院法務委員長、予算委員会筆頭理事、議院運営委員会筆頭理事、地方創生に関する特別委員会委員長、総務委員、財務金融委員、郵政改革に関する特別委員○当選九回（42補 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
36,石破 茂君,いしば しげる,自民,鳥取1,13,1957/2/4,ゾウ,くろひょう,猿,チーター,猿,"石破 茂（いしば しげる）
 小選挙区（鳥取県第一区）選出、自由民主党・無所属の会
 内閣総理大臣
 昭和三十二年二月四日東京都千代田区に生まれる、本籍鳥取県八頭郡八頭町郡家殿四百二十四番地。慶應義塾大学法学部法律学科卒業○株式会社三井銀行行員、木曜クラブ事務局員○農林水産総括政務次官、防衛庁副長官、国務大臣・防衛庁長官、防衛大臣、農林水産大臣、国務大臣・内閣府特命担当、内閣総理大臣○衆議院農林水産委理事、厚生委理事、環境委筆頭理事、外務委筆頭理事、規制緩和に関する特別委員長、運輸委員長○自民党政務調査会長、幹事長、総裁○平成二十三年五月永年在職議員として衆議院より表彰される○著書『国防』『国難』『日本人のための「集団的自衛権」入門』○当選十三回（38 39 40 41 42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
37,石橋 林太郎君,いしばし りんたろう,自民,（比）中国,2,1978/5/2,たぬき,チーター,ゾウ,チーター,くろひょう,"石橋 林太郎（いしばし りんたろう）
 比例代表（中国）選出、自由民主党・無所属の会
 昭和五十三年五月二日、広島市安佐南区出身、大阪外国語大学（現大阪大学外国語学部）中退○広島県議会議員（二期）○国土交通大臣政務官○自由民主党広島県第三選挙区支部長内定者○当選二回（49 50）
 （令和7年3月現在）"
38,石原 宏高君,いしはら ひろたか,自民,東京3,6,1964/6/19,ライオン,狼,たぬき,くろひょう,ゾウ,"石原 宏高（いしはら ひろたか）
 小選挙区（東京都第三区）選出、自由民主党・無所属の会
 昭和三十九年六月神奈川県逗子市に生まれる。慶應義塾大学経済学部卒業○株式会社日本興業銀行入行、みずほフィナンシャル・グループ参事役○自由民主党東京都第三選挙区支部支部長、品川総支部総支部長、内閣第二部会部会長、報道局長、環境・温暖化対策調査会事務局長、離島・半島振興特別委員会委員長○外務大臣政務官、内閣府副大臣、環境副大臣、内閣総理大臣補佐官（国家安全保障に関する重要政策及び核軍縮・不拡散問題担当）○衆議院環境委員長、環境委員会筆頭理事、農林水産委員○当選六回（44 46 47 48 49 50）
 （令和7年3月現在）"
39,泉 健太君,いずみ けんた,立憲,京都3,9,1974/7/29,たぬき,たぬき,狼,こじか,ライオン,"泉 健太（いずみ けんた）
 小選挙区（京都府第三区）選出、立憲民主党・無所属
 国家基本政策委員長
 昭和四十九年七月北海道札幌市に生まれる、立命館大学法学部卒業○参議院議員秘書、福祉施設職員○内閣府大臣政務官○民主党青年委員長、民進党組織委員長、希望の党国会対策委員長、国民民主党国会対策委員長、政務調査会長、立憲民主党政務調査会長、党代表、常任顧問○国家基本政策委員会理事、委員長○当選九回（43 44 45 46 47 47補 48 49 50）
 （令和7年3月現在）"
40,市來 伴子君,いちき ともこ,立憲,（比）北関東,1,1977/8/2,たぬき,ペガサス,ゾウ,ゾウ,ライオン,"市來 伴子（いちき ともこ）
 比例代表（北関東）選出、立憲民主党・無所属
 昭和五十二年八月宮崎県延岡市に生まれる、平成十五年関西学院大学大学院神学研究科修了○衆議院・参議院公設秘書・衆議院政策担当秘書○杉並区議会議員（二期）○当選一回（50）
 （令和7年3月現在）"
41,市村 浩一郎君,いちむら こういちろう,維新,（比）近畿,5,1964/7/16,たぬき,猿,くろひょう,狼,ペガサス,"市村 浩一郎（いちむら こういちろう）
 比例代表（近畿）選出、日本維新の会
 昭和三十九年七月十六日福岡県福岡市に生まれる、一橋大学社会学部卒業○松下政経塾第九期生。阪神・淡路コミュニティ基金事務局長兼プログラム・オフィサー、公益財団法人東京コミュニティー財団代表理事○国土交通大臣政務官○日本維新の会兵庫県第六区選挙区支部長、国会議員団代議士会長○衆議院内閣委員、震災復興・災害対策特別委員○著書「天下りの真実」、「日本を元気にするNPOのつくり方」、「日本のNPOはなぜ不幸なのか？」○当選五回（43 44 45 49 50）
 （令和7年3月現在）"
42,井出 庸生君,いで ようせい,自民,（比）北陸信越,5,1977/11/21,ライオン,狼,ペガサス,ゾウ,虎,"井出 庸生（いで ようせい）
 比例代表（北陸信越）選出、自由民主党・無所属の会
 昭和五十二年十一月二十一日東京都に生まれる、東京大学教育学部卒業○日本放送協会（NHK）に入局、記者として仙台と横浜に勤務○平成二十四年の総選挙にて初当選○衆議院法務委員会理事、司法制度調査会事務局長、文部科学副大臣、国会対策副委員長○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
43,伊藤 俊輔君,いとう しゅんすけ,立憲,東京23,3,1979/8/5,たぬき,ひつじ,ひつじ,ペガサス,虎,"伊藤 俊輔（いとう しゅんすけ）
 小選挙区（東京都第二十三区）選出、立憲民主党・無所属
 昭和五十四年八月東京都町田市に生まれ育つ、北京大学留学、中央大学経済学部卒業○元会社起業経営○立憲民主党副幹事長、青年局長、都連選対委員長○衆議院議院運営委員、安全保障委員、情報監視審査会委員○編著書『どうする、野党!?』○当選三回（48 49 50）
 （令和7年3月現在）"
44,伊藤 忠彦君,いとう ただひこ,自民,（比）東海,6,1964/7/11,たぬき,ライオン,ひつじ,チーター,ライオン,"伊藤 忠彦（いとう ただひこ）
 比例代表（東海）選出、自由民主党・無所属の会
 復興大臣
 昭和三十九年七月愛知県に生まれる、早稲田大学法学部卒業、電通へ入社。平成十一年愛知県議会議員に当選。平成十七年衆議院議員当選○復興大臣、環境副大臣、内閣府副大臣、総務大臣政務官、内閣府大臣政務官○衆議院法務委員長、法務委員会理事、環境委員会理事、決算行政監視委員会理事、倫理選挙特別委員会理事、原子力問題調査特別委員会理事、議事進行係、予算委員、総務委員、地方創生に関する特別委員○自由民主党総務、国会対策委員会副委員長、国土交通部会長、副幹事長、幹事長特別補佐○当選六回（44 46 47 48 49 50）
 （令和7年3月現在）"
45,伊藤 達也君,いとう たつや,自民,（比）東京,10,1961/7/6,チーター,ゾウ,ひつじ,くろひょう,たぬき,"伊藤 達也（いとう たつや）
 比例代表（東京都）選出、自由民主党・無所属の会
 情報監視審査会会長
 昭和三十六年七月東京都出身。慶應義塾大学法学部卒業、（公財）松下政経塾卒塾、カリフォルニア州立大学院客員研究員、関西学院大学院教授○通商産業政務次官、内閣府副大臣、金融担当大臣、総理大臣補佐官、内閣府大臣補佐官○自由民主党経済産業部会長、中小企業・小規模事業者政策調査会長、国際局長、競争政策調査会長○衆議院財務金融委員長、東日本大震災復興特別委員長、予算委員長、情報監視審査会長、憲法審査会幹事○著書「総理官邸の真実」（PHP研究所）等○当選十回（40 41 42 43 44 46 47 48 49 50）
 （令和7年3月現在）"
