氏名,ふりがな,会派,選挙区,当選回数,生年月日,表面,本質,意思決定,隠れ,希望
加藤 勝信君,かとう かつのぶ,自民,岡山3,8,1955/11/22,狼,狼,くろひょう,たぬき,こじか
加藤 竜祥君,かとう りゅうしょう,自民,長崎2,2,1980/2/10,チーター,くろひょう,ゾウ,子守熊,ひつじ
金子 恵美君,かねこ えみ,立憲,福島1,4（参1）,1965/7/7,黒ひょう,ペガサス,こじか,ライオン,こじか
金子 恭之君,かねこ やすし,自民,熊本4,9,1961/2/27,狼,ペガサス,こじか,ゾウ,チーター
金子 容三君,かねこ ようぞう,自民,長崎3,2,1983/2/1,ひつじ,ライオン,たぬき,子守熊,くろひょう
金村 龍那君,かねむら りゅうな,維新,（比）南関東,2,1979/4/6,こじか,猿,ひつじ,ひつじ,猿
鎌田 さゆり君,かまた さゆり,立憲,宮城2,4,1965/1/8,たぬき,くろひょう,ひつじ,ライオン,ゾウ
上川 陽子君,かみかわ ようこ,自民,静岡1,8,1953/3/1,狼,チーター,ゾウ,ライオン,チーター
神谷 裕君,かみや ひろし,立憲,北海道10,3,1968/8/10,猿,虎,猿,チーター,猿
亀井 亜紀子君,かめい あきこ,立憲,島根1,3（参1）,1965/5/14,黒ひょう,ライオン,ライオン,狼,たぬき
川内 博史君,かわうち ひろし,立憲,鹿児島1,8,1961/11/2,こじか,狼,ひつじ,くろひょう,狼
川崎 ひでと君,かわさき ひでと,自民,（比）東海,2,1981/11/4,ひつじ,ひつじ,ゾウ,くろひょう,チーター
川原田 英世君,かわはらだ えいせい,立憲,（比）北海道,1,1983/1/12,ひつじ,ゾウ,たぬき,くろひょう,くろひょう
河村 たかし君,かわむら たかし,保守,愛知1,6,1948/11/3,くろひょう,ひつじ,虎,ペガサス,たぬき
神田 潤一君,かんだ じゅんいち,自民,青森2,2,1970/9/27,虎,たぬき,たぬき,虎,こじか
城井 崇君,きい たかし,立憲,福岡10,5,1973/6/23,チーター,ペガサス,ひつじ,猿,たぬき
城内 実君,きうち みのる,自民,静岡7,7,1965/4/19,こじか,猿,狼,ひつじ,猿
黄川田 仁志君,きかわだ ひとし,自民,埼玉3,5,1970/10/13,ひつじ,猿,ひつじ,狼,チーター
菊田 真紀子君,きくた まきこ,立憲,新潟2,8,1969/10/24,くろひょう,猿,チーター,たぬき,たぬき
菊池 大二郎君,きくち だいじろう,国民,（比）東北,1,1982/7/9,ひつじ,狼,たぬき,狼,狼
岸 信千世君,きし のぶちよ,自民,山口2,2,1991/5/16,ライオン,ひつじ,たぬき,くろひょう,ゾウ
岸田 文雄君,きしだ ふみお,自民,広島1,11,1957/7/29,子守熊,チータ,こじか,こじか,こじか
岸田 光広君,きしだ みつひろ,国民,（比）北関東,1,1967/2/26,狼,ライオン,たぬき,チーター,チーター
北神 圭朗君,きたがみ けいろう,有志,京都4,5,1967/2/1,こじか,子守熊,虎,虎,ライオン
北野 裕子君,きたの ゆうこ,参政,（比）近畿,1,1985/9/19,ライオン,ライオン,こじか,チーター,くろひょう
木原 誠二君,きはら せいじ,自民,東京20,6,1970/6/8,ライオン,くろひょう,こじか,狼,ゾウ
木原 稔君,きはら みのる,自民,熊本1,6,1969/8/12,チーター,くろひょう,猿,狼,たぬき
吉良 州司君,きら しゅうじ,有志,大分1,7,1958/3/16,ゾウ,ひつじ,くろひょう,ペガサス,子守熊
金城 泰邦君,きんじょう やすくに,公明,（比）九州,2,1969/7/16,こじか,ひつじ,チーター,ペガサス,こじか
草間 剛君,くさま つよし,自民,神奈川19,1,1982/1/16,ひつじ,狼,猿,くろひょう,くろひょう
櫛渕 万里君,くしぶち まり,れ新,（比）東京,3,1967/10/15,くろひょう,虎,こじか,チーター,たぬき
工藤 彰三君,くどう しょうぞう,自民,（比）東海,5,1964/12/8,猿,ペガサス,ひつじ,ゾウ,ひつじ
国定 勇人君,くにさだ いさと,自民,（比）北陸信越,2,1972/8/30,ゾウ,狼,ライオン,狼,ペガサス
国光 あやの君,くにみつ あやの,自民,（比）北関東,3,1979/3/20,ひつじ,たぬき,チータ,黒ひょう,虎
栗原 渉君,くりはら わたる,自民,福岡5,1,1965/9/27,狼,ペガサス,子守熊,たぬき,ゾウ
黒岩 宇洋君,くろいわ たかひろ,立憲,新潟3,4（参1）,1966/10/13,ひつじ,チーター,猿,狼,チーター
黒田 征樹君,くろだ まさき,維新,大阪16,1,1979/12/20,猿,ライオン,たぬき,チーター,ひつじ
玄葉 光一郎君,げんば こういちろう,無,福島2,11,1964/5/20,虎,虎,たぬき,ひつじ,猿
源馬 謙太郎君,げんま けんたろう,立憲,静岡8,3,1972/12/21,狼,ひつじ,狼,くろひょう,くろひょう
小池 正昭君,こいけ まさあき,自民,千葉10,1,1966/9/18,虎,こじか,チーター,狼,こじか
小泉 進次郎君,こいずみ しんじろう,自民,神奈川11,6,1981/4/14,ひつじ,くろひょう,チーター,ライオン,ペガサス
小泉 龍司君,こいずみ りゅうじ,自民,埼玉11,8,1952/9/17,ゾウ,猿,くろひょう,狼,猿
神津 たけし君,こうづ たけし,立憲,長野3,2,1977/1/21,こじか,猿,くろひょう,猿,こじか
河野 太郎君,こうの たろう,自民,神奈川15,10,1963/1/10,くろひょう,くろひょう,チーター,子守熊,くろひょう
高村 正大君,こうむら まさひろ,自民,山口1,3,1970/11/14,ペガサス,ひつじ,ひつじ,虎,ひつじ
古賀 篤君,こが あつし,自民,福岡3,5,1972/7/14,たぬき,虎,狼,子守熊,ペガサス
國場 幸之助君,こくば こうのすけ,自民,（比）九州,5,1973/1/10,こじか,虎,狼,子守熊,ライオン
輿水 恵一君,こしみず けいいち,公明,（比）北関東,4,1962/2/4,チーター,子守熊,チーター,くろひょう,ひつじ
小寺 裕雄君,こてら ひろお,自民,（比）近畿,3,1960/9/18,猿,猿,ペガサス,猿,ライオン
後藤 茂之君,ごとう しげゆき,自民,長野4,8,1955/12/9,チーター,たぬき,ひつじ,ペガサス,ペガサス
後藤 祐一君,ごとう ゆういち,立憲,神奈川16,6,1969/3/25,子守熊,狼,猿,くろひょう,こじか
許斐 亮太郎君,このみ りょうたろう,国民,（比）九州,1,1974/2/7,ゾウ,子守熊,ゾウ,子守熊,虎
小林 茂樹君,こばやし しげき,自民,（比）近畿,4,1964/10/9,くろひょう,ペガサス,ひつじ,ゾウ,ペガサス
小林 鷹之君,こばやし たかゆき,自民,千葉2,5,1974/11/29,猿,こじか,ライオン,ライオン,チーター
小林 史明君,こばやし ふみあき,自民,広島6,5,1983/4/8,くろひょう,猿,ペガサス,狼,たぬき
小宮山 泰子君,こみやま やすこ,立憲,埼玉7,8,1965/4/25,たぬき,猿,虎,猿,ひつじ
小森 卓郎君,こもり たくお,自民,石川1,2,1970/5/21,ゾウ,こじか,くろひょう,たぬき,こじか
小山 千帆君,こやま ちほ,立憲,（比）東海,1,1975/4/14,こじか,ペガサス,狼,猿,子守熊
小山 展弘君,こやま のぶひろ,立憲,静岡3,4,1975/12/26,狼,虎,チーター,子守熊,くろひょう
近藤 和也君,こんどう かずや,立憲,石川3,4,1973/12/12,虎,狼,たぬき,ゾウ,ひつじ
近藤 昭一君,こんどう しょういち,立憲,愛知3,10,1958/5/26,狼,猿,たぬき,ひつじ,虎
斉木 武志君,さいき たけし,維新,（比）北陸信越,3,1974/5/13,子守熊,ライオン,ライオン,こじか,子守熊
斎藤アレックス君,さいとう あれっくす,維新,滋賀1,2,1985/6/30,チーター,ゾウ,ひつじ,くろひょう,たぬき
齋藤 健君,さいとう けん,自民,千葉7,6,1959/6/14,ライオン,子守熊,狼,ペガサス,ライオン
斉藤 鉄夫君,さいとう てつお,公明,広島3,11,1952/2/5,狼,ゾウ,ひつじ,ペガサス,チーター
斎藤 洋明君,さいとう ひろあき,自民,（比）北陸信越,5,1976/12/8,チーター,ゾウ,たぬき,ゾウ,ペガサス
齋藤 裕喜君,さいとう ゆうき,立憲,（比）東北,1,1979/9/4,ペガサス,こじか,ひつじ,ライオン,たぬき
酒井 なつみ君,さかい なつみ,立憲,東京15,2,,-,-,-,-,-
坂井 学君,さかい まなぶ,自民,神奈川5,6,1965/9/4,虎,ライオン,ゾウ,チーター,猿
阪口 直人君,さかぐち なおと,れ新,（比）東海,3,1963/6/12,虎,ひつじ,チーター,くろひょう,子守熊
坂本 哲志君,さかもと てつし,自民,熊本3,8,1950/11/6,ひつじ,チーター,虎,狼,チーター
坂本 祐之輔君,さかもと ゆうのすけ,立憲,埼玉10,4,1955/1/30,こじか,ペガサス,子守熊,ゾウ,ゾウ
坂本 竜太郎君,さかもと りゅうたろう,自民,福島4,1,1980/3/28,狼,ゾウ,ライオン,くろひょう,ライオン
櫻井 周君,さくらい しゅう,立憲,兵庫6,3,1970/8/16,子守熊,くろひょう,ひつじ,狼,虎
笹川 博義君,ささがわ ひろよし,自民,群馬3,5,1966/8/29,ライオン,ライオン,チーター,子守熊,ペガサス
佐々木ナオミ君,ささき なおみ,立憲,（比）南関東,1,,-,-,-,-,-
佐々木 紀君,ささき はじめ,自民,石川2,5,1974/10/18,くろひょう,ひつじ,子守熊,ペガサス,たぬき
佐藤 公治君,さとう こうじ,立憲,広島5,5（参1）,1959/7/28,たぬき,チーター,チーター,ライオン,ライオン
佐藤 勉君,さとう つとむ,自民,（比）北関東,10,1952/6/20,ライオン,猿,たぬき,ライオン,ライオン
佐藤 英道君,さとう ひでみち,公明,（比）北海道,5,1960/9/26,猿,虎,ペガサス,こじか,ペガサス
佐原 若子君,さわら わかこ,れ新,（比）東北,1,1953/11/22,狼,ひつじ,虎,ゾウ,こじか
志位 和夫君,しい かずお,共産,（比）南関東,11,1954/7/29,たぬき,ひつじ,虎,くろひょう,ペガサス
塩川 鉄也君,しおかわ てつや,共産,（比）北関東,9,1961/12/18,子守熊,ペガサス,たぬき,くろひょう,猿
塩崎 彰久君,しおざき あきひさ,自民,愛媛1,2,1976/9/9,狼,チーター,たぬき,チーター,ゾウ
重徳 和彦君,しげとく かずひこ,立憲,愛知12,5,1970/12/21,子守熊,ゾウ,ひつじ,虎,猿
階 猛君,しな たけし,立憲,岩手1,7,1966/10/7,猿,狼,ライオン,くろひょう,ライオン
篠田 奈保子君,しのだ なおこ,立憲,（比）北海道,1,1972/2/5,猿,猿,狼,狼,こじか
篠原 豪君,しのはら ごう,立憲,神奈川1,4,1975/2/12,ゾウ,ひつじ,子守熊,虎,虎
篠原 孝君,しのはら たかし,立憲,長野1,8,1948/7/17,ひつじ,猿,ライオン,ひつじ,狼
柴田 勝之君,しばた かつゆき,立憲,（比）東京,1,1968/10/24,こじか,子守熊,チーター,ペガサス,狼
柴山 昌彦君,しばやま まさひこ,自民,埼玉8,8,1965/12/5,虎,狼,狼,狼,たぬき
島尻 安伊子君,しまじり あいこ,自民,沖縄3,2（参2）,1965/3/4,ゾウ,虎,虎,こじか,猿
島田 智明君,しまだ ともあき,自民,（比）近畿,1,1969/12/2,チーター,チーター,ライオン,ライオン,狼
島田 洋一君,しまだ よういち,保守,（比）近畿,1,1957/10/23,ひつじ,くろひょう,ゾウ,狼,ゾウ
下条 みつ君,しもじょう みつ,立憲,長野2,6,1955/12/29,チーター,チーター,ひつじ,チーター,ペガサス
下野 幸助君,しもの こうすけ,立憲,三重2,1,1976/11/7,虎,虎,こじか,虎,たぬき
庄子 賢一君,しょうじ けんいち,公明,（比）東北,2,1963/2/8,子守熊,狼,ゾウ,ゾウ,チーター
白石 洋一君,しらいし よういち,立憲,愛媛2,4,1963/6/25,ライオン,狼,子守熊,くろひょう,ゾウ
新谷 正義君,しんたに まさよし,自民,（比）中国,5,1975/3/8,猿,くろひょう,猿,子守熊,チーター
新藤 義孝君,しんどう よしたか,自民,埼玉2,9,1958/1/20,ひつじ,猿,猿,ライオン,子守熊
末松 義規君,すえまつ よしのり,立憲,東京19,8,1956/12/5,ペガサス,虎,子守熊,子守熊,狼
菅 義偉君,すが よしひで,自民,神奈川2,10,1948/12/6,ゾウ,たぬき,子守熊,子守熊,子守熊
杉村 慎治君,すぎむら しんじ,立憲,埼玉9,1,1976/6/15,虎,ひつじ,くろひょう,虎,くろひょう
杉本 和巳君,すぎもと かずみ,維新,（比）東海,5,1960/9/17,ゾウ,子守熊,狼,子守熊,子守熊
鈴木 敦君,すずき あつし,参政,（比）南関東,2,1988/12/15,チーター,たぬき,たぬき,ペガサス,ペガサス
鈴木 英敬君,すずき えいけい,自民,三重4,2,1974/8/15,子守熊,狼,猿,くろひょう,虎
鈴木 馨祐君,すずき けいすけ,自民,（比）南関東,6,1977/2/9,ゾウ,猿,虎,ライオン,猿
鈴木 俊一君,すずき しゅんいち,自民,岩手2,11,1953/4/13,ゾウ,子守熊,たぬき,ゾウ,黒ひょう
鈴木 貴子君,すずき たかこ,自民,北海道7,5,1986/1/5,猿,ひつじ,ペガサス,猿,チータ
鈴木 岳幸君,すずき たけゆき,立憲,（比）東海,1,1973/5/7,狼,猿,くろひょう,ひつじ,虎
鈴木 憲和君,すずき のりかず,自民,山形2,5,1982/1/30,くろひょう,くろひょう,子守熊,子守熊,くろひょう
鈴木 隼人君,すずき はやと,自民,東京10,4,1977/8/8,-,-,-,-,-
鈴木 庸介君,すずき ようすけ,立憲,（比）東京,2,1975/11/21,チーター,たぬき,ペガサス,こじか,狼
鈴木 義弘君,すずき よしひろ,国民,埼玉14,4,1962/11/10,ライオン,虎,子守熊,チーター,虎
関 芳弘君,せき よしひろ,自民,兵庫3,6,1965/6/7,狼,ひつじ,ペガサス,ペガサス,狼
世耕 弘成君,せこう ひろしげ,自民,和歌山2,1（参5）,1962/11/9,チーター,チーター,狼,ライオン,狼
瀬戸 隆一君,せと たかかず,自民,（比）四国,4,1965/8/2,たぬき,狼,ライオン,くろひょう,ライオン
仙田 晃宏君,せんだ あきひろ,国民,（比）東海,1,1982/10/11,こじか,子守熊,こじか,ペガサス,狼
宗野 創君,そうの はじめ,立憲,神奈川18,1,1993/1/5,こじか,ひつじ,子守熊,くろひょう,ライオン
